test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-04-21 03:14:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8497( 131.179.150.72 ),2396,8498( 131.179.150.72 )
2016-04-21 05:12:11,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,1787,8537( 131.179.150.72 ),20,8545( 131.179.150.72 )
2016-04-21 07:12:10,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8551( 131.179.150.72 ),20,8557( 131.179.150.72 )
2016-04-21 09:14:28,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8563( 131.179.150.72 ),20,8569( 131.179.150.72 )
2016-04-21 11:14:29,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8576( 131.179.150.72 ),20,8582( 131.179.150.72 )
2016-04-21 13:12:12,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,2310,8588( 131.179.150.72 ),20,8594( 131.179.150.72 )
2016-04-21 15:36:11,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,48,8607( 131.179.150.72 ),2414,8608( 131.179.150.72 )
2016-04-21 16:05:13,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8611( 131.179.150.72 ),1182,8612( 131.179.150.72 )
2016-04-21 17:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8627( 131.179.150.72 ),2365,8628( 131.179.150.72 )
2016-04-21 18:04:43,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8643( 131.179.150.72 ),2449,8644( 131.179.150.72 )
2016-04-21 19:04:42,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,48,8659( 131.179.150.72 ),2383,8660( 131.179.150.72 )
2016-04-21 20:04:40,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,52,8675( 131.179.150.72 ),2554,8676( 131.179.150.72 )
2016-04-21 21:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8691( 131.179.150.72 ),2492,8692( 131.179.150.72 )
2016-04-21 22:04:43,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,34,8707( 131.179.150.72 ),2403,8708( 131.179.150.72 )
2016-04-22 00:06:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8733( 131.179.150.72 ),0,8734( 131.179.150.72 )
2016-04-22 01:07:37,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8749( 131.179.150.72 ),0,8750( 131.179.150.72 )
2016-04-22 02:06:36,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8765( 131.179.150.72 ),0,8766( 131.179.150.72 )
2016-04-22 03:04:44,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,24,8781( 131.179.150.72 ),2418,8782( 131.179.150.72 )
2016-04-22 04:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8797( 131.179.150.72 ),2517,8798( 131.179.150.72 )
2016-04-22 05:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,26,8813( 131.179.150.72 ),2503,8814( 131.179.150.72 )
2016-04-22 06:04:43,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,42,8829( 131.179.150.72 ),2398,8830( 131.179.150.72 )
