test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-05-05 00:12:19,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,4236,16242( 165.242.90.129 ),428,16243( 165.242.90.129 )
2016-05-05 01:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3780,16258( 165.242.90.129 ),22,16259( 165.242.90.129 )
2016-05-05 02:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,4314,16274( 165.242.90.129 ),22,16275( 165.242.90.129 )
2016-05-05 03:12:21,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3968,16290( 165.242.90.129 ),22,16291( 165.242.90.129 )
2016-05-05 04:12:19,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,4234,16306( 165.242.90.129 ),466,16307( 165.242.90.129 )
2016-05-05 05:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3784,16322( 165.242.90.129 ),22,16323( 165.242.90.129 )
2016-05-05 06:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,4170,16338( 165.242.90.129 ),22,16339( 165.242.90.129 )
2016-05-05 07:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,4172,16354( 165.242.90.129 ),22,16355( 165.242.90.129 )
2016-05-05 08:12:22,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3504,16370( 165.242.90.129 ),22,16371( 165.242.90.129 )
2016-05-05 09:12:33,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,444,16386( 165.242.90.129 ),22,16387( 165.242.90.129 )
2016-05-05 10:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,4272,16402( 165.242.90.129 ),22,16403( 165.242.90.129 )
2016-05-05 11:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3634,16418( 165.242.90.129 ),122,16419( 165.242.90.129 )
2016-05-05 12:12:21,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3738,16434( 165.242.90.129 ),22,16435( 165.242.90.129 )
2016-05-05 13:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,4304,16450( 165.242.90.129 ),22,16451( 165.242.90.129 )
2016-05-05 14:12:23,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,2230,16466( 165.242.90.129 ),22,16467( 165.242.90.129 )
2016-05-05 15:12:22,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,2870,16482( 165.242.90.129 ),22,16483( 165.242.90.129 )
2016-05-05 16:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3772,16498( 165.242.90.129 ),22,16499( 165.242.90.129 )
2016-05-05 17:12:21,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3336,16514( 165.242.90.129 ),22,16515( 165.242.90.129 )
2016-05-05 18:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,4348,16530( 165.242.90.129 ),22,16531( 165.242.90.129 )
2016-05-05 19:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3726,16546( 165.242.90.129 ),22,16547( 165.242.90.129 )
2016-05-05 20:12:33,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,2402,16562( 165.242.90.129 ),22,16563( 165.242.90.129 )
2016-05-05 21:12:20,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3890,16578( 165.242.90.129 ),22,16579( 165.242.90.129 )
2016-05-05 22:12:21,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,3828,16594( 165.242.90.129 ),22,16595( 165.242.90.129 )
2016-05-05 23:12:22,pl2.sos.info.hiroshima-cu.ac.jp,165.242.90.129,5000,1024,2672,16610( 165.242.90.129 ),22,16611( 165.242.90.129 )
2016-05-05 00:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16244( 130.195.4.68 ),4982,16245( 130.195.4.68 )
2016-05-05 01:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16260( 130.195.4.68 ),4982,16261( 130.195.4.68 )
